@relation sonar
@attribute Band1 NUMERIC [0.002,0.137]
@attribute Band2 NUMERIC [0.001,0.234]
@attribute Band3 NUMERIC [0.002,0.306]
@attribute Band4 NUMERIC [0.006,0.426]
@attribute Band5 NUMERIC [0.007,0.401]
@attribute Band6 NUMERIC [0.01,0.382]
@attribute Band7 NUMERIC [0.003,0.373]
@attribute Band8 NUMERIC [0.006,0.459]
@attribute Band9 NUMERIC [0.008,0.683]
@attribute Band10 NUMERIC [0.011,0.711]
@attribute Band11 NUMERIC [0.029,0.734]
@attribute Band12 NUMERIC [0.024,0.706]
@attribute Band13 NUMERIC [0.018,0.713]
@attribute Band14 NUMERIC [0.027,0.997]
@attribute Band15 NUMERIC [0.003,1.0]
@attribute Band16 NUMERIC [0.016,0.999]
@attribute Band17 NUMERIC [0.035,1.0]
@attribute Band18 NUMERIC [0.038,1.0]
@attribute Band19 NUMERIC [0.049,1.0]
@attribute Band20 NUMERIC [0.066,1.0]
@attribute Band21 NUMERIC [0.051,1.0]
@attribute Band22 NUMERIC [0.022,1.0]
@attribute Band23 NUMERIC [0.056,1.0]
@attribute Band24 NUMERIC [0.024,1.0]
@attribute Band25 NUMERIC [0.024,1.0]
@attribute Band26 NUMERIC [0.092,1.0]
@attribute Band27 NUMERIC [0.048,1.0]
@attribute Band28 NUMERIC [0.028,1.0]
@attribute Band29 NUMERIC [0.014,1.0]
@attribute Band30 NUMERIC [0.061,1.0]
@attribute Band31 NUMERIC [0.048,0.966]
@attribute Band32 NUMERIC [0.04,0.931]
@attribute Band33 NUMERIC [0.048,1.0]
@attribute Band34 NUMERIC [0.021,0.965]
@attribute Band35 NUMERIC [0.022,1.0]
@attribute Band36 NUMERIC [0.008,1.0]
@attribute Band37 NUMERIC [0.035,0.95]
@attribute Band38 NUMERIC [0.038,1.0]
@attribute Band39 NUMERIC [0.037,0.986]
@attribute Band40 NUMERIC [0.012,0.93]
@attribute Band41 NUMERIC [0.036,0.9]
@attribute Band42 NUMERIC [0.006,0.825]
@attribute Band43 NUMERIC
@attribute Band44 NUMERIC
@attribute Band45 NUMERIC
@attribute Band46 NUMERIC
@attribute Band47 NUMERIC
@attribute Band48 NUMERIC
@attribute Band49 NUMERIC
@attribute Band50 NUMERIC
@attribute Band51 NUMERIC
@attribute Band52 NUMERIC [0.001,0.071]
@attribute Band53 NUMERIC
@attribute Band54 NUMERIC [0.001,0.035]
@attribute Band55 NUMERIC [0.001,0.045]
@attribute Band56 NUMERIC
@attribute Band57 NUMERIC
@attribute Band58 NUMERIC
@attribute Band59 NUMERIC
@attribute Band60 NUMERIC [0.001,0.044]
@attribute Type {R,M}
@data
0.044,0.048,0.0050,0.058,0.028,0.068,0.166,0.149,0.097,0.127,0.111,0.238,0.201,0.214,0.111,0.204,0.247,0.668,0.834,0.825,0.802,0.898,0.966,0.852,0.663,0.324,0.205,0.567,0.573,0.488,0.753,0.76,0.518,0.412,0.556,0.557,0.134,0.383,0.461,0.433,0.256,0.147,0.349,0.266,0.094,0.137,0.134,0.042,0.072,0.064,0.021,0.02,0.022,0.014,0.0060,0.0070,0.0080,0.01,0.0060,0.01,R
0.0020,0.031,0.017,0.023,0.043,0.122,0.195,0.166,0.137,0.143,0.099,0.225,0.244,0.324,0.304,0.241,0.037,0.167,0.304,0.407,0.361,0.199,0.461,0.685,0.727,0.715,0.71,0.852,1.0,0.769,0.484,0.372,0.61,0.511,0.259,0.092,0.095,0.229,0.348,0.21,0.19,0.294,0.221,0.152,0.075,0.061,0.069,0.045,0.034,0.0080,0.011,0.015,0.0080,0.0040,0.011,0.0080,0.01,0.0020,0.0030,0.0010,R
0.021,0.013,0.053,0.057,0.065,0.143,0.134,0.204,0.157,0.157,0.233,0.178,0.151,0.192,0.206,0.231,0.236,0.13,0.381,0.586,0.45,0.488,1.0,0.868,0.472,0.534,0.62,0.714,0.56,0.373,0.248,0.192,0.139,0.332,0.288,0.323,0.261,0.204,0.24,0.132,0.068,0.033,0.072,0.098,0.079,0.052,0.05,0.023,0.022,0.014,0.031,0.039,0.015,0.0020,0.01,0.01,0.0080,0.018,0.011,0.0070,R
0.026,0.058,0.11,0.108,0.097,0.228,0.243,0.377,0.56,0.619,0.633,0.706,0.554,0.532,0.648,0.693,0.676,0.755,0.893,0.862,0.797,0.674,0.429,0.365,0.533,0.241,0.507,0.853,0.604,0.851,0.851,0.504,0.186,0.271,0.423,0.304,0.612,0.676,0.538,0.472,0.465,0.259,0.213,0.222,0.211,0.018,0.135,0.074,0.013,0.011,0.0030,0.023,0.017,0.01,0.018,0.024,0.032,0.016,0.01,0.0080,R
0.035,0.071,0.033,0.027,0.037,0.079,0.108,0.069,0.03,0.088,0.108,0.098,0.225,0.282,0.21,0.124,0.17,0.094,0.109,0.141,0.127,0.315,0.143,0.226,0.576,0.788,0.716,0.6,0.558,0.63,0.766,0.894,0.844,0.681,0.838,1.0,0.95,0.787,0.565,0.348,0.258,0.23,0.295,0.336,0.302,0.219,0.132,0.108,0.056,0.0040,0.01,0.016,0.024,0.0040,0.02,0.011,0.0040,0.01,0.0090,0.0050,R
0.0090,0.0060,0.025,0.049,0.12,0.159,0.139,0.099,0.096,0.19,0.19,0.255,0.407,0.299,0.29,0.533,0.402,0.157,0.302,0.391,0.354,0.444,0.641,0.46,0.601,0.869,0.834,0.767,0.508,0.462,0.538,0.538,0.384,0.36,0.74,0.776,0.386,0.067,0.368,0.611,0.351,0.231,0.22,0.305,0.194,0.157,0.048,0.054,0.015,0.0070,0.019,0.0060,0.01,0.019,0.0080,0.015,0.016,0.0050,0.019,0.01,R
0.022,0.038,0.048,0.048,0.065,0.059,0.075,0.01,0.068,0.149,0.116,0.165,0.383,0.36,0.171,0.114,0.035,0.38,0.74,0.992,0.98,0.889,0.671,0.429,0.337,0.737,0.961,0.735,0.486,0.159,0.301,0.41,0.317,0.33,0.341,0.219,0.246,0.273,0.168,0.279,0.256,0.174,0.212,0.11,0.098,0.127,0.146,0.116,0.078,0.044,0.0060,0.014,0.013,0.014,0.0060,0.0050,0.0060,0.0090,0.0060,0.0020,R
0.0090,0.027,0.022,0.034,0.03,0.117,0.145,0.064,0.074,0.136,0.213,0.374,0.374,0.267,0.233,0.537,0.731,0.766,0.627,0.44,0.433,0.433,0.554,0.736,0.859,0.899,0.942,0.94,0.938,0.858,0.728,0.67,0.755,0.877,0.992,0.992,0.942,0.839,0.66,0.482,0.292,0.177,0.114,0.07,0.158,0.194,0.111,0.069,0.018,0.02,0.031,0.021,0.0090,0.0060,0.0090,0.0090,0.0070,0.012,0.0060,0.011,R
0.018,0.015,0.0030,0.014,0.042,0.047,0.036,0.074,0.14,0.104,0.09,0.067,0.1,0.106,0.035,0.123,0.163,0.365,0.326,0.3,0.211,0.21,0.208,0.228,0.075,0.197,0.409,0.638,0.797,0.751,0.552,0.221,0.467,0.448,0.23,0.324,0.448,0.558,0.652,0.535,0.248,0.227,0.179,0.09,0.054,0.037,0.099,0.096,0.032,0.014,0.0080,0.022,0.026,0.014,0.023,0.0040,0.0020,0.0050,0.0090,0.0080,R
0.019,0.061,0.038,0.077,0.139,0.081,0.057,0.022,0.104,0.119,0.124,0.16,0.352,0.448,0.377,0.576,0.643,0.679,0.716,0.547,0.54,0.636,0.785,0.776,0.578,0.486,0.418,0.246,0.072,0.061,0.182,0.449,0.598,0.378,0.25,0.577,0.885,0.841,0.357,0.313,0.61,0.638,0.271,0.142,0.126,0.129,0.079,0.083,0.052,0.022,0.036,0.033,0.013,0.012,0.011,0.0020,0.0040,0.0040,0.011,0.0080,R
0.033,0.042,0.047,0.082,0.084,0.076,0.037,0.096,0.055,0.019,0.09,0.173,0.194,0.28,0.331,0.502,0.636,0.71,0.833,0.873,0.807,0.751,0.753,0.73,0.618,0.495,0.453,0.41,0.454,0.412,0.314,0.319,0.369,0.378,0.447,0.478,0.472,0.466,0.389,0.426,0.406,0.371,0.386,0.28,0.128,0.112,0.13,0.079,0.044,0.022,0.013,0.0080,0.017,0.018,0.0040,0.013,0.0070,0.0040,0.013,0.0090,M
0.063,0.106,0.153,0.123,0.144,0.119,0.088,0.091,0.211,0.36,0.547,0.52,0.513,0.54,0.656,0.87,0.979,0.934,0.792,0.738,0.691,0.385,0.067,0.05,0.272,0.284,0.223,0.191,0.041,0.253,0.198,0.189,0.243,0.196,0.267,0.134,0.107,0.202,0.179,0.023,0.131,0.178,0.155,0.163,0.071,0.013,0.08,0.076,0.012,0.0060,0.026,0.0090,0.026,0.011,0.014,0.019,0.023,0.0060,0.011,0.013,M
0.014,0.03,0.012,0.0080,0.024,0.025,0.028,0.013,0.049,0.087,0.11,0.108,0.109,0.102,0.06,0.091,0.131,0.276,0.366,0.527,0.581,0.618,0.588,0.464,0.542,0.737,0.909,1.0,0.825,0.544,0.335,0.088,0.16,0.417,0.658,0.739,0.796,0.749,0.68,0.471,0.236,0.17,0.273,0.402,0.412,0.347,0.274,0.179,0.092,0.028,0.017,0.0080,0.0040,0.0020,0.0040,0.0060,0.0070,0.0040,0.0040,0.0030,M
0.021,0.054,0.033,0.082,0.074,0.032,0.092,0.107,0.155,0.123,0.18,0.179,0.125,0.258,0.337,0.399,0.165,0.227,0.322,0.536,0.816,1.0,0.87,0.689,0.63,0.574,0.571,0.598,0.43,0.206,0.1,0.225,0.231,0.398,0.332,0.173,0.143,0.217,0.197,0.214,0.367,0.202,0.078,0.092,0.239,0.34,0.259,0.11,0.091,0.046,0.017,0.0030,0.0050,0.019,0.01,0.012,0.0040,0.0090,0.0070,0.01,M
0.03,0.069,0.099,0.102,0.08,0.063,0.013,0.081,0.176,0.1,0.052,0.09,0.266,0.31,0.352,0.389,0.396,0.245,0.236,0.304,0.311,0.47,0.553,0.453,0.446,0.467,0.462,0.699,0.763,0.702,0.738,0.745,0.793,0.523,0.397,0.304,0.131,0.241,0.178,0.16,0.566,0.644,0.424,0.457,0.576,0.529,0.329,0.128,0.07,0.033,0.034,0.046,0.028,0.017,0.0090,0.0050,0.02,0.013,0.012,0.0020,M
0.019,0.035,0.017,0.018,0.039,0.163,0.203,0.169,0.233,0.268,0.311,0.293,0.228,0.099,0.18,0.22,0.273,0.286,0.203,0.174,0.413,0.688,0.812,0.845,0.892,0.93,0.999,1.0,0.81,0.62,0.604,0.555,0.416,0.147,0.085,0.061,0.097,0.141,0.168,0.12,0.12,0.104,0.198,0.134,0.09,0.108,0.152,0.136,0.086,0.029,0.02,0.012,0.01,0.02,0.0030,0.01,0.0060,0.012,0.019,0.016,M
0.131,0.234,0.306,0.426,0.401,0.179,0.185,0.0060,0.193,0.223,0.291,0.226,0.314,0.33,0.366,0.396,0.439,0.467,0.526,0.374,0.224,0.197,0.434,0.653,0.507,0.28,0.416,0.595,0.524,0.418,0.371,0.238,0.086,0.144,0.29,0.458,0.372,0.337,0.38,0.418,0.36,0.271,0.165,0.195,0.281,0.225,0.192,0.15,0.066,0.019,0.016,0.036,0.021,0.015,0.018,0.0010,0.011,0.013,0.018,0.023,M
0.016,0.0040,0.024,0.044,0.063,0.092,0.137,0.108,0.155,0.178,0.216,0.257,0.309,0.383,0.439,0.534,0.6,0.673,0.731,0.809,0.894,0.967,1.0,0.989,0.938,0.899,0.918,0.913,0.781,0.602,0.376,0.33,0.228,0.021,0.112,0.179,0.237,0.284,0.224,0.272,0.336,0.255,0.187,0.216,0.128,0.077,0.107,0.095,0.064,0.023,0.013,0.017,0.014,0.011,0.0060,0.016,0.0090,0.0040,0.0050,0.0030,M
0.018,0.044,0.048,0.07,0.162,0.089,0.06,0.107,0.318,0.292,0.327,0.304,0.303,0.259,0.168,0.131,0.28,0.452,0.664,0.768,0.696,0.439,0.243,0.289,0.497,0.817,1.0,0.924,0.852,0.772,0.577,0.519,0.682,0.622,0.505,0.358,0.381,0.381,0.336,0.277,0.365,0.383,0.345,0.21,0.103,0.08,0.07,0.053,0.024,0.012,0.012,0.012,0.011,0.01,0.0030,0.0020,0.0030,0.0050,0.0070,0.0020,M
0.0050,0.0060,0.0080,0.055,0.088,0.128,0.167,0.137,0.292,0.347,0.326,0.326,0.23,0.125,0.21,0.24,0.193,0.167,0.123,0.09,0.156,0.329,0.527,0.674,0.791,0.894,0.94,0.949,0.904,0.915,0.883,0.809,0.718,0.672,0.645,0.688,0.624,0.494,0.414,0.424,0.455,0.439,0.432,0.492,0.471,0.32,0.224,0.181,0.099,0.025,0.013,0.01,0.013,0.0070,0.0040,0.0070,0.0060,0.0040,0.0,0.0030,M
0.043,0.09,0.083,0.081,0.016,0.028,0.057,0.206,0.389,0.711,0.734,0.503,0.3,0.195,0.277,0.374,0.251,0.251,0.329,0.487,0.653,0.845,0.974,1.0,0.666,0.532,0.402,0.344,0.424,0.418,0.439,0.116,0.434,0.655,0.617,0.437,0.412,0.364,0.457,0.437,0.296,0.431,0.416,0.182,0.149,0.014,0.116,0.205,0.107,0.02,0.021,0.018,0.02,0.021,0.014,0.0050,0.0030,0.016,0.0060,0.0020,M
0.071,0.09,0.128,0.15,0.128,0.116,0.128,0.168,0.183,0.213,0.289,0.398,0.458,0.582,0.503,0.193,0.258,0.318,0.274,0.619,0.896,0.744,0.519,0.281,0.177,0.661,0.758,0.512,0.47,0.548,0.435,0.128,0.085,0.093,0.031,0.1,0.178,0.159,0.3,0.221,0.146,0.29,0.32,0.141,0.063,0.073,0.08,0.061,0.056,0.029,0.015,0.015,0.016,0.0050,0.0030,0.0050,0.0090,0.01,0.01,0.0070,M
0.079,0.071,0.035,0.166,0.133,0.023,0.077,0.268,0.566,0.661,0.5,0.258,0.165,0.435,0.452,0.458,0.337,0.4,0.532,0.901,0.994,0.369,0.101,0.025,0.232,0.398,0.226,0.525,0.69,0.832,0.433,0.374,0.576,0.804,0.796,0.717,0.706,0.815,0.76,0.603,0.455,0.473,0.448,0.372,0.469,0.384,0.077,0.147,0.078,0.047,0.019,0.03,0.039,0.029,0.018,0.025,0.014,0.0070,0.0020,0.01,M
0.016,0.021,0.028,0.06,0.046,0.078,0.136,0.078,0.104,0.157,0.248,0.278,0.29,0.296,0.319,0.189,0.173,0.223,0.243,0.315,0.41,0.381,0.49,0.629,0.752,0.798,0.883,0.992,0.922,0.698,0.617,0.507,0.392,0.352,0.218,0.124,0.159,0.163,0.236,0.248,0.244,0.272,0.118,0.116,0.145,0.188,0.195,0.149,0.051,0.016,0.019,0.015,0.0060,0.0080,0.0090,0.0040,0.0060,0.0060,0.0050,0.0020,M
0.012,0.018,0.045,0.11,0.191,0.092,0.076,0.109,0.076,0.101,0.25,0.399,0.381,0.475,0.616,0.646,0.802,0.921,0.983,0.963,0.865,0.832,0.828,0.801,0.61,0.485,0.436,0.431,0.44,0.383,0.303,0.304,0.32,0.229,0.213,0.235,0.32,0.446,0.366,0.272,0.175,0.178,0.22,0.106,0.057,0.031,0.024,0.047,0.01,0.0060,0.0030,0.016,0.01,0.0080,0.027,0.028,0.01,0.0050,0.015,0.0090,M
0.035,0.051,0.0080,0.024,0.043,0.074,0.094,0.113,0.123,0.151,0.181,0.239,0.295,0.287,0.401,0.532,0.549,0.582,0.604,0.675,0.708,0.789,0.928,0.978,0.974,1.0,0.97,0.996,0.824,0.602,0.534,0.487,0.353,0.157,0.095,0.161,0.282,0.339,0.302,0.294,0.298,0.268,0.206,0.207,0.162,0.122,0.101,0.074,0.039,0.0050,0.015,0.0040,0.012,0.011,0.011,0.01,0.0050,0.0020,0.0080,0.0030,M
0.021,0.026,0.012,0.077,0.106,0.168,0.302,0.346,0.331,0.412,0.394,0.133,0.462,0.997,0.914,0.829,0.699,0.782,0.879,0.85,0.892,0.947,1.0,0.898,0.781,0.832,0.65,0.455,0.473,0.339,0.275,0.098,0.048,0.14,0.183,0.215,0.127,0.191,0.339,0.344,0.237,0.12,0.266,0.259,0.139,0.108,0.138,0.132,0.107,0.032,0.032,0.0060,0.016,0.0080,0.037,0.01,0.013,0.029,0.013,0.0020,M
0.0090,0.061,0.114,0.12,0.04,0.123,0.25,0.457,0.659,0.508,0.335,0.083,0.3,0.396,0.377,0.383,0.125,0.136,0.268,0.919,0.978,0.324,0.194,0.187,0.088,0.344,0.295,0.591,0.456,0.733,0.197,0.279,0.621,0.868,0.862,0.938,0.833,0.948,0.672,0.444,0.516,0.381,0.156,0.145,0.266,0.181,0.17,0.256,0.113,0.02,0.048,0.023,0.018,0.035,0.016,0.033,0.02,0.017,0.024,0.015,M
0.026,0.036,0.014,0.027,0.021,0.034,0.066,0.14,0.184,0.235,0.272,0.244,0.166,0.034,0.13,0.171,0.218,0.318,0.371,0.455,0.57,0.74,0.806,0.884,0.943,1.0,0.938,0.76,0.712,0.836,0.762,0.457,0.172,0.155,0.164,0.187,0.266,0.171,0.096,0.077,0.085,0.208,0.25,0.186,0.144,0.147,0.099,0.0040,0.015,0.012,0.018,0.015,0.013,0.0050,0.0040,0.0060,0.0040,0.0040,0.0060,0.012,M
0.021,0.019,0.041,0.032,0.07,0.158,0.144,0.14,0.305,0.391,0.35,0.367,0.394,0.331,0.333,0.3,0.232,0.138,0.345,0.443,0.489,0.368,0.438,0.486,0.621,0.726,0.662,0.769,0.798,0.858,0.927,0.701,0.485,0.341,0.141,0.115,0.143,0.182,0.36,0.553,0.599,0.508,0.551,0.503,0.703,0.59,0.407,0.276,0.158,0.051,0.0050,0.0080,0.02,0.01,0.0040,0.0030,0.0060,0.0090,0.0070,0.0040,M
0.021,0.013,0.0020,0.045,0.071,0.156,0.152,0.121,0.167,0.134,0.078,0.037,0.123,0.261,0.428,0.612,0.744,0.813,0.901,0.96,0.916,0.914,0.785,0.513,0.344,0.329,0.257,0.368,0.576,0.619,0.461,0.362,0.443,0.386,0.309,0.214,0.111,0.139,0.152,0.1,0.164,0.19,0.131,0.178,0.2,0.076,0.073,0.075,0.045,0.013,0.017,0.012,0.0020,0.0050,0.0050,0.0030,0.0020,0.0040,0.0050,0.0020,M
0.022,0.0060,0.016,0.049,0.052,0.085,0.081,0.183,0.223,0.181,0.255,0.298,0.262,0.189,0.067,0.267,0.427,0.629,0.778,0.769,0.81,0.849,0.944,0.945,0.966,0.804,0.497,0.396,0.386,0.557,0.731,0.855,0.942,0.873,0.667,0.469,0.155,0.175,0.361,0.521,0.518,0.37,0.224,0.082,0.04,0.078,0.105,0.103,0.076,0.022,0.017,0.0090,0.0050,0.0020,0.0080,0.0060,0.0020,0.0070,0.0070,0.0040,M
0.016,0.025,0.026,0.039,0.064,0.047,0.106,0.139,0.06,0.133,0.297,0.475,0.568,0.569,0.642,0.749,0.9,1.0,0.969,0.903,0.768,0.7,0.664,0.596,0.371,0.092,0.048,0.088,0.104,0.171,0.326,0.461,0.394,0.505,0.483,0.351,0.232,0.403,0.368,0.151,0.074,0.14,0.155,0.038,0.064,0.044,0.026,0.022,0.019,0.0080,0.014,0.0070,0.0080,0.023,0.02,0.0070,0.0040,0.01,0.0050,0.0020,M
