@relation bands
@attribute Proof_cut NUMERIC [25.0,72.5]
@attribute Viscosity INTEGER [35,72]
@attribute Caliper NUMERIC [0.133,0.533]
@attribute Ink_temperature NUMERIC [11.2,24.5]
@attribute Humifity INTEGER [57,105]
@attribute Roughness NUMERIC [0.056,1.25]
@attribute Blade_pressure INTEGER [16,70]
@attribute Varnish_pct NUMERIC
@attribute Press_speed INTEGER
@attribute Ink_pct NUMERIC [41.0,76.9]
@attribute Solvent_pct NUMERIC [22.0,53.4]
@attribute Esa_voltage NUMERIC
@attribute ESA_amperage NUMERIC
@attribute Wax NUMERIC
@attribute Hardener NUMERIC
@attribute Roller_durometer NUMERIC [28.0,60.0]
@attribute Density INTEGER [30,45]
@attribute Anode_ratio NUMERIC [83.33,117.86]
@attribute Chrome_content INTEGER [90,100]
@attribute Band_type {band,noband}
@data
47.5,53,0.3,15.0,72,0.75,25,22.0,1500,45.9,32.1,0.0,0.0,2.5,0.8,35.0,40,114.3,100,band
40.0,68,0.3,14.0,88,0.75,32,0.0,1742,60.0,40.0,3.0,0.0,2.5,1.0,40.0,40,103.125,100,band
35.0,62,0.4,14.5,94,1.0,35,0.0,1900,63.3,36.7,0.0,0.0,2.5,1.0,35.0,40,106.89,100,band
40.0,42,0.2,15.0,65,0.75,55,0.0,1650,62.5,37.5,0.0,0.0,2.5,1.0,40.0,40,96.77,100,band
35.0,44,0.2,15.5,100,0.875,30,0.0,2200,53.2,46.8,0.0,0.0,0.0,0.0,30.0,40,100.0,100,band
40.0,60,0.2,15.0,85,1.0,25,6.9,2100,54.0,39.1,0.0,0.0,2.5,1.2,35.0,40,103.13,100,band
40.0,42,0.333,16.0,78,0.625,20,0.0,1550,62.5,37.5,0.0,0.0,2.5,1.0,40.0,40,106.25,100,noband
65.0,50,0.2,15.1,75,0.625,20,19.0,1800,47.6,33.4,0.0,0.0,2.7,0.6,34.0,40,110.71,100,noband
45.0,54,0.167,18.0,90,0.5,26,8.3,1875,52.1,39.6,0.0,0.0,3.0,1.0,33.0,35,106.9,100,noband
45.0,41,0.2,16.1,74,1.0,30,0.0,1800,62.5,37.5,1.0,0.0,2.5,1.2,30.0,40,106.45,100,noband
30.0,58,0.333,16.3,78,0.625,30,0.0,2150,58.8,41.2,10.0,0.0,2.5,1.0,30.0,35,90.0,100,noband
40.0,62,0.2,14.9,80,0.5,28,3.4,2303,56.8,39.8,2.0,0.0,2.5,0.6,33.0,40,100.0,100,noband
42.0,44,0.3,15.0,80,1.25,20,16.7,1300,49.0,34.3,0.0,0.0,2.5,0.2,40.0,40,110.0,100,noband
35.0,38,0.433,16.0,70,0.75,50,0.0,1400,62.5,37.5,0.0,0.0,2.8,1.5,28.0,40,103.125,100,noband
30.0,54,0.333,16.8,71,0.75,25,18.0,2000,45.0,36.9,0.0,0.0,2.5,0.9,35.0,35,106.9,100,noband
55.0,40,0.3,15.1,69,0.625,20,19.5,1450,44.2,36.3,0.0,0.0,2.5,0.9,34.0,40,106.45,100,noband
35.0,39,0.2,16.2,84,1.0,30,0.0,2100,62.5,37.5,4.0,0.0,2.0,0.9,30.0,40,94.117,100,noband
27.5,41,0.267,17.58,80,0.75,50,3.4,1490,56.8,39.8,0.0,0.0,3.0,1.0,35.0,40,103.125,100,noband
32.5,47,0.267,16.1,88,0.312,28,0.0,2189,62.5,37.5,0.0,0.0,2.4,0.8,30.0,40,100.0,100,noband
35.0,50,0.3,14.0,74,0.25,28,0.0,2500,58.8,41.2,0.0,0.0,2.5,0.7,30.0,40,114.29,100,noband
45.0,61,0.4,14.0,78,0.75,20,25.6,2100,42.7,31.7,0.0,0.0,2.5,0.8,30.0,35,105.2,100,noband
62.5,61,0.3,14.0,85,0.75,50,3.5,1660,56.8,39.7,2.0,0.0,3.0,1.0,32.0,40,93.75,100,noband
52.5,54,0.433,16.3,90,0.75,38,0.0,1800,62.5,38.5,0.0,0.0,2.9,1.1,33.0,35,100.0,100,noband
40.0,55,0.533,15.4,80,0.812,30,10.2,2400,51.0,38.8,0.0,0.0,1.7,0.7,30.0,45,93.75,100,noband
37.5,56,0.3,14.0,82,0.625,28,0.0,1700,58.8,41.2,2.0,0.0,2.5,0.5,40.0,35,100.0,100,noband
42.5,41,0.3,14.0,70,0.625,20,2.3,1750,57.5,40.0,4.0,0.0,2.5,0.7,35.0,40,96.97,100,noband
37.5,44,0.2,16.0,90,0.75,28,20.0,2050,45.0,35.0,0.0,0.0,2.4,0.8,35.0,40,107.4,100,noband
40.0,62,0.3,16.1,82,0.812,30,5.7,1800,56.8,37.5,10.0,0.0,0.7,0.5,30.0,40,106.5,100,noband
35.0,48,0.3,14.5,74,0.75,20,0.0,2225,62.5,37.5,4.0,0.0,2.0,1.2,33.0,40,106.25,90,noband
57.5,53,0.367,14.5,70,0.625,58,20.2,1600,42.0,37.8,3.0,0.0,3.0,1.0,40.0,35,105.2,100,noband
65.0,50,0.267,15.0,86,0.25,28,10.5,1700,52.6,36.8,2.0,0.0,2.5,0.6,40.0,40,103.3,100,noband
25.0,38,0.2,13.0,75,0.625,25,0.0,1600,57.5,42.5,0.0,0.0,2.5,0.85,30.0,40,103.12,100,noband
37.5,70,0.4,15.0,65,0.75,25,5.4,1500,54.3,40.2,0.0,0.0,2.3,0.9,40.0,40,106.66,100,noband
65.0,60,0.267,14.5,80,0.25,38,15.8,1900,49.5,34.6,0.0,0.0,2.9,0.7,40.0,40,103.3,100,noband
55.0,49,0.2,15.6,74,0.75,24,0.0,1650,58.8,41.2,0.0,0.0,2.5,1.7,33.0,40,103.33,100,noband
45.0,56,0.333,14.9,85,1.0,30,17.3,1600,48.1,34.6,0.0,0.0,2.8,1.0,40.0,35,100.0,100,noband
35.0,48,0.233,16.0,86,0.562,30,16.1,1900,44.6,39.3,0.0,0.0,2.5,1.5,30.0,40,103.22,100,noband
50.0,50,0.2,15.5,74,0.75,58,4.8,1420,59.5,35.7,3.0,0.0,3.0,1.0,40.0,40,106.45,100,noband
40.0,45,0.2,15.0,76,0.812,30,0.0,2400,62.5,37.5,0.0,0.0,1.0,1.0,30.0,40,107.4,100,noband
55.0,37,0.267,16.0,75,0.625,20,5.6,1850,55.6,38.9,0.0,0.0,0.8,0.75,33.0,40,109.67,100,noband
50.0,45,0.3,15.2,72,1.0,25,5.9,2150,58.8,35.3,0.0,0.0,2.5,1.0,35.0,40,107.4,100,noband
40.0,43,0.2,13.5,76,0.75,52,4.4,1726,55.0,40.6,0.0,0.0,3.0,1.0,40.0,40,96.77,100,noband
40.0,35,0.233,18.0,85,0.625,30,0.0,2000,62.5,37.5,0.0,0.0,2.5,0.9,30.0,40,103.125,100,noband
40.0,43,0.35,16.1,70,0.625,20,11.1,2000,55.6,33.3,4.0,0.0,1.8,0.9,35.0,40,103.22,100,noband
40.0,38,0.3,16.0,92,0.625,25,1.1,1900,53.8,45.2,0.0,0.0,2.5,1.0,30.0,33,100.0,100,noband
50.0,40,0.233,15.0,88,0.75,30,0.0,2233,58.8,41.2,8.0,0.0,3.0,1.0,33.0,40,106.45,100,noband
45.0,54,0.367,15.5,74,0.562,40,10.5,2250,52.6,36.8,2.0,0.0,2.5,1.8,30.0,40,106.45,100,noband
50.0,46,0.3,16.5,75,0.75,30,0.0,2600,62.5,37.5,6.0,0.0,2.5,0.6,30.0,40,106.67,100,noband
30.0,53,0.3,15.0,80,0.75,30,15.0,2290,50.0,35.0,0.0,0.0,2.5,1.0,33.0,40,110.7,100,noband
57.5,57,0.367,15.3,84,1.0,30,19.0,2400,47.6,33.3,0.0,0.0,3.0,1.0,33.0,40,93.75,100,noband
50.0,43,0.3,16.3,80,0.812,30,0.0,2270,55.6,44.4,12.0,0.0,1.5,1.5,30.0,40,103.22,100,noband
40.0,54,0.2,15.4,78,0.5,34,5.7,1736,56.8,36.9,0.0,0.0,2.5,1.1,35.0,40,103.125,100,noband
