@relation yeast
@attribute Mcg NUMERIC [0.11,1.0]
@attribute Gvh NUMERIC [0.13,1.0]
@attribute Alm NUMERIC [0.21,1.0]
@attribute Mit NUMERIC
@attribute Erl NUMERIC [0.5,1.0]
@attribute Pox NUMERIC
@attribute Vac NUMERIC
@attribute Nuc NUMERIC
@attribute Class {MIT,NUC,CYT,ME1,ME2,ME3,EXC,VAC,POX,ERL}
@data
0.53,0.57,0.6,0.36,0.5,0.0,0.5,0.22,CYT
0.25,0.48,0.45,0.32,0.5,0.0,0.4,0.22,CYT
0.56,0.68,0.42,0.36,0.5,0.0,0.49,0.22,CYT
0.55,0.57,0.51,0.07,0.5,0.0,0.55,0.22,CYT
0.51,0.49,0.48,0.55,0.5,0.0,0.52,0.58,CYT
0.38,0.5,0.52,0.44,0.5,0.0,0.54,0.11,CYT
0.37,0.3,0.62,0.43,0.5,0.0,0.44,0.39,CYT
0.36,0.56,0.52,0.18,0.5,0.0,0.45,0.16,CYT
0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,CYT
0.23,0.29,0.46,0.0,0.5,0.0,0.43,0.31,CYT
0.39,0.37,0.56,0.15,0.5,0.0,0.5,0.27,CYT
0.4,0.48,0.5,0.17,0.5,0.0,0.54,0.5,CYT
0.6,0.4,0.59,0.18,0.5,0.0,0.48,0.22,CYT
0.59,0.48,0.5,0.14,0.5,0.0,0.45,0.25,CYT
0.61,0.54,0.49,0.16,0.5,0.0,0.54,0.42,CYT
0.57,0.36,0.51,0.25,0.5,0.0,0.54,0.25,CYT
0.58,0.51,0.49,0.27,0.5,0.0,0.57,0.29,CYT
0.5,0.55,0.52,0.16,0.5,0.0,0.51,0.31,CYT
0.41,0.48,0.51,0.2,0.5,0.0,0.51,0.22,CYT
0.5,0.52,0.51,0.22,0.5,0.0,0.46,0.37,CYT
0.63,0.64,0.49,0.2,0.5,0.0,0.52,0.25,CYT
0.42,0.25,0.6,0.14,0.5,0.0,0.45,0.22,CYT
0.45,0.47,0.53,0.15,0.5,0.0,0.52,0.27,CYT
0.57,0.43,0.52,0.3,0.5,0.0,0.37,0.11,CYT
0.27,0.56,0.56,0.18,0.5,0.0,0.52,0.22,CYT
0.56,0.52,0.55,0.19,0.5,0.0,0.54,0.22,CYT
0.24,0.25,0.57,0.28,0.5,0.0,0.51,0.11,CYT
0.6,0.61,0.54,0.11,0.5,0.0,0.46,0.22,CYT
0.56,0.52,0.46,0.17,0.5,0.0,0.49,0.73,CYT
0.45,0.4,0.5,0.16,0.5,0.0,0.5,0.22,CYT
0.78,0.82,0.56,0.21,0.5,0.0,0.69,0.22,CYT
0.64,0.31,0.53,0.15,0.5,0.0,0.53,0.31,CYT
0.43,0.52,0.53,0.52,1.0,0.0,0.49,0.22,CYT
0.46,0.35,0.69,0.18,0.5,0.0,0.3,0.25,CYT
0.46,0.55,0.61,0.13,0.5,0.0,0.47,0.22,CYT
0.51,0.4,0.56,0.17,0.5,0.5,0.49,0.22,CYT
0.41,0.52,0.41,0.11,0.5,0.0,0.54,0.35,CYT
0.4,0.42,0.71,0.21,0.5,0.0,0.54,0.32,CYT
0.8,0.46,0.5,0.15,0.5,0.0,0.53,0.22,CYT
0.38,0.49,0.54,1.0,0.5,0.0,0.5,0.27,CYT
0.72,0.37,0.63,0.38,0.5,0.0,0.4,0.14,CYT
0.91,0.77,0.34,0.47,0.5,0.0,0.52,0.31,ME1
0.89,0.81,0.36,0.71,0.5,0.0,0.55,0.63,ME1
0.78,0.71,0.35,0.25,0.5,0.0,0.49,0.22,ME1
0.81,0.79,0.32,0.37,0.5,0.0,0.41,0.22,ME1
0.78,0.73,0.27,0.28,0.5,0.0,0.56,0.22,ME1
0.7,0.69,0.43,0.33,0.5,0.0,0.58,0.22,ME1
0.74,0.89,0.32,0.24,0.5,0.0,0.54,0.32,ME1
0.92,0.66,0.52,0.23,0.5,0.0,0.53,0.22,ME1
0.7,0.73,0.37,0.37,0.5,0.0,0.48,0.31,ME1
0.43,0.38,0.38,0.12,0.5,0.0,0.5,0.22,ME2
0.81,0.76,0.32,0.37,0.5,0.0,0.51,0.22,ME2
0.71,0.56,0.39,0.27,0.5,0.0,0.52,0.22,ME2
0.83,0.53,0.52,0.2,0.5,0.0,0.48,0.25,ME2
0.74,0.56,0.35,0.36,0.5,0.0,0.51,0.25,ME2
0.89,0.82,0.6,0.49,0.5,0.0,0.55,0.22,ME2
0.71,0.51,0.49,0.23,0.5,0.0,0.3,0.32,ME2
0.39,0.71,0.38,0.14,0.5,0.0,0.5,0.22,ME2
0.92,0.61,0.4,0.22,0.5,0.0,0.54,0.22,ME2
0.63,0.71,0.44,0.53,0.5,0.0,0.52,0.22,ME2
0.46,0.47,0.44,0.18,1.0,0.0,0.46,0.22,ME2
0.39,0.42,0.38,0.4,0.5,0.0,0.49,0.47,ME3
0.49,0.41,0.32,0.21,0.5,0.0,0.5,0.32,ME3
0.28,0.48,0.36,0.16,0.5,0.0,0.53,0.22,ME3
0.65,0.61,0.39,0.3,0.5,0.0,0.57,0.28,ME3
0.41,0.54,0.39,0.2,0.5,0.0,0.51,0.22,ME3
0.53,0.51,0.36,0.13,0.5,0.0,0.52,0.22,ME3
0.45,0.57,0.3,0.17,0.5,0.0,0.51,0.22,ME3
0.6,0.68,0.3,0.27,0.5,0.0,0.55,0.22,ME3
0.26,0.3,0.37,0.15,0.5,0.0,0.53,0.25,ME3
0.4,0.65,0.38,0.17,0.5,0.0,0.57,0.22,ME3
0.57,0.5,0.4,0.08,0.5,0.0,0.47,0.22,ME3
0.2,0.34,0.33,0.1,0.5,0.0,0.48,0.31,ME3
0.45,0.5,0.43,0.16,0.5,0.0,0.52,0.28,ME3
0.43,0.6,0.4,0.12,0.5,0.0,0.49,0.29,ME3
0.48,0.43,0.45,0.17,0.5,0.0,0.48,0.37,ME3
0.46,0.48,0.38,0.22,0.5,0.0,0.39,0.45,ME3
0.43,0.48,0.36,0.26,0.5,0.0,0.52,0.22,ME3
0.39,0.63,0.41,0.27,0.5,0.0,0.49,0.22,ME3
0.55,0.42,0.34,0.3,0.5,0.0,0.52,0.22,ME3
0.41,0.42,0.23,0.16,0.5,0.0,0.4,0.22,ME3
0.33,0.28,0.31,0.24,0.5,0.0,0.53,0.22,ME3
0.36,0.33,0.38,0.15,0.5,0.0,0.55,0.36,ME3
0.45,0.57,0.38,0.28,0.5,0.0,0.53,0.31,ME3
0.39,0.37,0.33,0.23,0.5,0.0,0.52,0.26,ME3
0.41,0.53,0.45,0.14,0.5,0.0,0.52,0.66,ME3
0.51,0.63,0.3,0.35,0.5,0.0,0.53,0.27,ME3
0.36,0.43,0.39,0.12,0.5,0.0,0.49,0.22,ME3
0.37,0.55,0.29,0.32,0.5,0.0,0.51,0.22,ME3
0.49,0.31,0.34,0.13,0.5,0.0,0.52,0.22,ME3
0.52,0.55,0.39,0.09,1.0,0.0,0.55,0.25,ME3
0.27,0.41,0.24,0.2,0.5,0.0,0.49,0.22,ME3
0.46,0.14,0.36,0.21,0.5,0.0,0.5,0.25,ME3
0.55,0.39,0.39,0.47,0.5,0.0,0.5,0.83,ME3
0.74,0.82,0.46,0.24,0.5,0.0,0.48,0.22,EXC
0.79,0.74,0.49,0.33,0.5,0.0,0.48,0.22,EXC
0.71,0.64,0.42,0.28,0.5,0.0,0.43,0.22,EXC
0.41,0.59,0.46,0.19,0.5,0.0,0.36,0.22,EXC
0.75,0.76,0.58,0.22,0.5,0.0,0.49,0.22,EXC
0.77,0.87,0.47,0.37,0.5,0.0,0.48,0.22,EXC
0.84,0.63,0.38,0.23,0.5,0.0,0.53,0.22,EXC
0.4,0.36,0.55,0.15,0.5,0.0,0.53,0.22,VAC
0.46,0.49,0.45,0.28,0.5,0.0,0.55,0.22,VAC
0.28,0.46,0.26,0.18,0.5,0.0,0.39,0.22,VAC
0.55,0.44,0.5,0.09,0.5,0.0,0.55,0.22,VAC
0.63,0.55,0.53,0.51,0.5,0.0,0.55,0.22,VAC
0.75,0.69,0.48,0.13,0.5,0.0,0.57,0.4,VAC
0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,POX
0.69,0.6,0.51,0.13,0.5,0.83,0.52,0.22,POX
0.52,0.5,0.53,0.1,0.5,0.0,0.48,0.22,POX
0.45,0.41,0.5,0.46,0.5,0.5,0.5,0.27,POX
0.7,0.84,0.49,0.28,1.0,0.0,0.58,0.22,ERL
